Location,Date,Sentinel-2,X,Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,FDI,label
Gulf of Gera,20210621,A,48,43,26.52458000183105,39.03902816772461,0.030548075,0.045528922,0.068658605,0.10800771,0.10818467,0.08667853,0.110818006,0.15651688,0.09279238,0.020107793,0.009038978000000001,0.1833824598310501,0.18781535941312816,3
Okinawa,20211026,A,2552,871,127.84503936767578,26.75160789489746,0.035844408,0.03484135,0.030722318,0.02792032,0.019508952,0.021824144,0.02520798,0.031467300000000004,0.020562153,0.013378725,0.011251237,0.05972591594005627,0.024610171,5
Gulf of Gera,20210810,A,47,43,26.52446365356445,39.03902816772461,0.02080435,0.03364207,0.056146607,0.08907981,0.07997776,0.10085160000000001,0.09054017,0.14009303,0.12835039,0.0044721173999999995,0.006128818,0.2225971454558054,0.21004565477420709,3
Okinawa,20211026,A,2831,230,127.87252044677734,26.80969619750977,0.030868052000000007,0.039430566,0.030768724,0.025402844,0.020016894,0.020507053,0.01907048,0.029252658,0.017241983,0.012360818,0.010745308,0.07043781246396749,0.023182405,5
Gulf of Gera,20210711,A,30,18,26.522483825683594,39.0412712097168,0.01409471,0.017319992,0.022155136000000002,0.0057258243000000006,0.0053193984,0.008509218,0.011341958999999999,0.007942467,0.01055667,0.014095102,0.018747898,0.16217408974887734,-0.010466083934358864,1
Accra,20181031,B,1548,478,0.4123555123806,5.761260986328125,0.00827971,0.014220338,0.029564343,0.021801306,0.07915272599999999,0.09183373,0.12810488,0.11310683,0.11495412,0.013385426,0.012417131,0.6767977581426222,0.1606777442987095,4
Accra,20181031,B,1455,641,0.4038830101490021,5.746592044830322,0.004740306,0.017233811,0.03836427,0.03300921,0.0721049,0.100536406,0.12839992,0.15603812,0.11576935,0.013307106,0.011685221,0.6507836423820427,0.21051041296340173,4
Okinawa,20211026,A,3090,674,127.89896392822266,26.76982116699219,0.033504136000000004,0.03916672,0.035197888,0.0317913,0.026719714,0.026289782,0.02665588,0.029553706000000006,0.02529501,0.016067814,0.012081406,-0.03647556901371888,0.021379348,5
Vigo,20160920,A,55,478,-8.910391807556152,42.22421646118164,0.029926753,0.032748457,0.028815456,0.022453371,0.013242091,0.017417539,0.017740628,0.020147033,0.016467093999999998,0.011244767,0.009207545,-0.054138876241643104,0.013668912,7
Gulf of Gera,20210621,A,48,36,26.52457427978516,39.03965759277344,0.03190913,0.07598305,0.06717388,0.05420538,0.027439317,0.026160338999999998,0.037859853,0.043431394000000005,0.029651657,0.014575168999999999,0.010812288,-0.1103476237344752,0.03780235406226952,2
Accra,20181031,B,1633,481,0.42001742124557495,5.760944366455077,0.008141284,0.013382635,0.037251014,0.02693708,0.06406689,0.08625614,0.10730288,0.14673429999999998,0.082644425,0.012133547,0.012173783999999998,0.6897925265521584,0.19219590512375712,4
Vigo,20160920,A,425,247,-8.865513801574707,42.24497604370117,0.018539516,0.02510366,0.022136299,0.0111556165,0.007947069000000001,0.008964731,0.009778437,0.012194341,0.009752631,0.004677491,0.0023230421,0.04448507026190523,0.01082748,7
Accra,20181031,B,3759,491,0.1007905974984169,5.65988302230835,0.012189235,0.013700567,0.02313964,0.014812085,0.0240487,0.027679622,0.031293925,0.05470467,0.03350083,0.008813912,0.0090099275,0.5738556841440599,0.06054989758747618,4
Okinawa,20211026,A,3392,873,127.92950439453124,26.75209045410156,0.034736533,0.03689439,0.035988458,0.03565367,0.03654078,0.035665486,0.033839814,0.031810276,0.029312333,0.017607622,0.0119469995,-0.0569695997325742,0.028147032,5
Marmara Sea,20210606,B,1041,770,29.02979278564453,40.956886291503906,0.068897426,0.09094528,0.101876944,0.0926736,0.13794251,0.15678762,0.17744192,0.110869996,0.13863611,0.022600925,0.018385572,0.0893980275360763,0.19253556,6
Vigo,20160920,A,130,258,-8.901273727416992,42.24402236938477,0.022046618,0.04134252,0.037623588,0.029344613,0.021920878,0.022227783,0.020112703,0.029801574,0.020878032,0.011699916,0.008999993000000001,0.007725958733400664,0.026231332000000003,7
Gulf of Gera,20210825,B,49,38,26.52469253540039,39.03947830200195,0.0021735115,0.027530467000000003,0.04845122,0.03362667,0.027918948,0.021040026,0.024091772999999997,0.024555217,0.017542556,0.0057465513000000005,0.0034780826,-0.1559154140187993,0.030692087018616462,2
Gulf of Gera,20210701,A,48,42,26.524578094482425,39.03911590576172,0.014733815,0.033827382999999996,0.06502087,0.103045255,0.0981626,0.12850021,0.15678504,0.18758729,0.16797239,0.05643866,0.040456637999999996,0.2908897728573377,0.18679493702244224,3
Durban,20190424,B,749,563,31.082563400268555,-29.85124206542969,0.03733306,0.055191405,0.047722843,0.03701707,0.030723026,0.032572307,0.026711296,0.05246846,0.038141157,0.022275584,0.015328087,0.17266914550318918,0.03819369334271208,2
Accra,20181031,B,3780,456,0.1027010828256607,5.663034439086914,0.012750363,0.01691227,0.022912629,0.012521483,0.027763668,0.03811255,0.042863138,0.059341338,0.036340777000000005,0.007872693,0.008042127,0.6515170758464938,0.07496578795768986,4
Vigo,20160920,A,54,421,-8.910506248474121,42.22935104370117,0.034946408,0.05417219,0.052419305,0.039124195,0.038370393,0.04028142,0.039637137,0.042692777,0.03697316,0.019961694,0.014104375,0.043616647167045004,0.03842208,7
Vigo,20160920,A,338,169,-8.876045227050781,42.25201416015625,0.023913056,0.038085736,0.043414094,0.033147894,0.027638596,0.02794999,0.031271286,0.02992672,0.028486567,0.012659823999999998,0.008557951,-0.05106926219160052,0.029074041,7
Gulf of Gera,20210626,B,29,19,26.522369384765625,39.04117965698242,0.015475397,0.020441586,0.02007762,0.0034851541,0.0017765375,0.011954378,0.018407883,0.0126456125,0.014703095,0.0063957219999999995,0.006330451,0.5678873563268841,0.0105691085004231,1
Accra,20181031,B,3761,492,0.10097046196460724,5.659791946411133,0.012038259,0.016966099999999998,0.031884342,0.022695024,0.059787687,0.07557304,0.0812446,0.101626106,0.073114455,0.009155747,0.009479996,0.6348967548798823,0.1440782957863338,4
Vigo,20160920,A,413,236,-8.866966247558594,42.24596786499024,0.023664705,0.024735909,0.026044754,0.016337922,0.011612395,0.01166437,0.011954876,0.01671018,0.012295703,0.005954679599999999,0.004325786,0.011264126454221193,0.015164553999999997,7
Okinawa,20211026,A,3386,620,127.9286880493164,26.77492332458496,0.03451277,0.041503195,0.032985568,0.030755823,0.026303666,0.023540556,0.021526478,0.03133161,0.0198613,0.01519555,0.011276417,0.009273809081461054,0.022580117,5
Durban,20190424,B,746,569,31.08224296569824,-29.85177803039551,0.036902755,0.060540244000000014,0.05838459,0.041417856,0.027016103,0.029068017,0.030624812,0.04987679,0.0313043,0.020622866,0.012749328999999998,0.0926553129961202,0.035816022502855926,2
Accra,20181031,B,3777,457,0.1024300828576088,5.662945747375487,0.011718774,0.018807728,0.025553707,0.0145745035,0.05362763,0.07900928,0.09488669,0.061681706,0.068361625,0.008857155,0.010352985,0.617749069995408,0.10733454785318383,4
Marmara Sea,20210606,B,982,893,29.022449493408203,40.94593811035156,0.033447184,0.03595079,0.033765327000000005,0.013033081,0.021713188,0.023232626,0.0186175,0.011944898999999998,0.018751701000000003,0.0055735433,0.004818565,-0.04356565262683379,0.020092916,6
Gulf of Gera,20210611,A,4,53,26.519500732421875,39.03810501098633,0.024237047999999997,0.027378045,0.023734362999999998,0.016974928,0.0140606025,0.01752303,0.020088923999999998,0.013365361000000001,0.019128125,0.02234828,0.02611839,-0.11896943367942207,-0.012709002368454323,1
Marmara Sea,20210606,B,1398,796,29.07211303710937,40.95379257202149,0.04367532,0.047851495,0.044516426,0.02437675,0.02396184,0.02182511,0.023731027,0.022992186,0.021401832000000003,0.005875162299999999,0.0056103915,-0.02922936668875142,0.029510543,6
Okinawa,20211026,A,3146,797,127.90470123291016,26.75876045227051,0.05419136,0.053931545,0.052940834000000006,0.06422009,0.03833286,0.039068803,0.037503324,0.055128533,0.03966769,0.024077246,0.01531309,-0.07617647167994551,0.042627845,5
Okinawa,20211026,A,2785,115,127.86779022216795,26.82004165649414,0.03519425,0.04720547,0.048623677,0.043913182,0.03403636,0.03633655,0.030439973,0.053803843,0.03051926,0.01820875,0.0127667235,0.10121737742220452,0.049593475,5
Vigo,20160920,A,60,470,-8.909785270690918,42.22493743896485,0.033512402000000004,0.04930712,0.04287275,0.030723443,0.026830241,0.025374848,0.02695236,0.032655912999999995,0.025132056,0.017193323,0.012544214,0.030490527546540483,0.021780407,7
Durban,20190424,B,755,550,31.083208084106445,-29.850078582763672,0.05281709,0.060495786,0.052985176,0.050501402,0.03233795,0.03679309,0.040152192,0.053591494,0.0410836,0.02850595,0.021338226,0.029685906711635755,0.031524863911148726,2
Gulf of Gera,20210731,A,48,38,26.52457618713379,39.03947830200195,0.009208468000000001,0.0270152,0.039287943,0.03474133,0.02660033,0.025321944,0.03804662,0.046420638,0.030772267000000002,0.013868551000000002,0.010045695,0.14390124202015406,0.04139645717142555,2
Gulf of Gera,20210711,A,49,38,26.52469253540039,39.03947830200195,0.021250907000000003,0.07129355,0.0925289,0.082153335,0.04390162,0.05094769,0.04514959,0.071092725,0.050265368,0.017766673,0.018988855,-0.07217549345151189,0.07894860743072381,2
Marmara Sea,20210606,B,1194,751,29.048015594482425,40.958274841308594,0.049636446,0.04084878,0.03427848,0.016312174,0.015713954,0.015061516,0.016816583,0.013951863,0.014770987,0.0049274587,0.004567397,-0.07799061969161611,0.016898826000000002,6
Gulf of Gera,20210626,B,48,38,26.52457618713379,39.03947830200195,0.01791756,0.04816598,0.052773222,0.042543378,0.029514957,0.028851612000000002,0.040884916,0.047000445,0.034314603,0.013265098000000001,0.008998362,0.04977525920464667,0.045846467355828216,2
Gulf of Gera,20210626,B,71,43,26.52723693847656,39.039039611816406,0.01651687,0.02379164,0.035582766,0.010266362,0.009260059000000001,0.017571751,0.023798407999999997,0.0215737,0.025933722000000003,0.019003274,0.01202908,0.3551292707909928,0.0014580959854030053,1
Durban,20190424,B,757,540,31.083431243896484,-29.849180221557607,0.05489164,0.060174827,0.0612471,0.050506495,0.031921167,0.036102787,0.040545117,0.05844542,0.04472981400000002,0.026969083,0.02426846,0.07286631905460313,0.03857345880918129,2
Durban,20190424,B,601,698,31.0670166015625,-29.863195419311523,0.051042087,0.062389664,0.07578055,0.04623165,0.03696146,0.036090706,0.04815471,0.05281594,0.04425947,0.02237114,0.01570307,0.06647602430306483,0.0411052539703829,2
Accra,20181031,B,1385,689,0.3975462019443512,5.742294788360598,0.004041573,0.011247115,0.034645118,0.025425037,0.06758650000000001,0.09445257,0.107024364,0.14861833,0.09577994,0.010074714,0.0099550905,0.7078310143241483,0.2041073699851914,4
Gulf of Gera,20210626,B,46,42,26.52434730529785,39.03911590576172,0.01635222,0.033561337999999996,0.05096781,0.07749486,0.035012264,0.04850038,0.07406876,0.12365125,0.067044765,0.02360528,0.012996281,0.2294669780091696,0.11939009995557436,3
Gulf of Gera,20210611,A,50,37,26.52480697631836,39.03956985473633,0.029670263,0.06022371400000001,0.06737869,0.050180323,0.06228574,0.05440925,0.049894452,0.047834682999999996,0.051285017,0.018479234,0.01922009,-0.023931437600483368,0.057100795882730974,2
Caribbean Sea,20161103,A,6166,3657,-86.42379760742188,15.949413299560547,0.022147743,0.02537362,0.0213177,0.014924487,0.011600408,0.012871105,0.014324378,0.01351179,0.015047582,0.014767406,0.012737925,-0.04967939368434205,-0.0027199495822358005,1
Durban,20190424,B,755,551,31.08320617675781,-29.85016822814941,0.047018103,0.05965662,0.05136651,0.047224235,0.032763824,0.036102206,0.04657234,0.056700688,0.04285018,0.028626505,0.020850386,0.09118556671915932,0.03388299403723291,2
Okinawa,20211026,A,2980,395,127.88765716552734,26.79491996765137,0.036192626,0.03948662,0.028285485,0.028244352,0.031415857,0.03487913,0.032985404,0.03133392,0.029965933,0.019742616,0.014202807,0.05185729455194674,0.0232798,5
Okinawa,20211026,A,2954,475,127.8851089477539,26.787677764892567,0.03671401,0.041244995,0.03572592,0.03028773,0.020933961,0.020604102,0.016955674,0.030357476,0.015815186999999998,0.012927265,0.011794033999999998,0.0011500661734087025,0.023358306,5
Caribbean Sea,20161103,A,6184,3658,-86.422119140625,15.949318885803224,0.023195965,0.026101029,0.021921372,0.016679691,0.012410128,0.012173586,0.014103904,0.013173839,0.014735752,0.014371653,0.012305866,-0.11743509059062696,-0.00289517287082499,1
Vigo,20160920,A,365,129,-8.87276554107666,42.25561141967773,0.03303864,0.03596257,0.035934407,0.021365589,0.014554449,0.014434313999999997,0.014845155,0.022741022000000003,0.010880804,0.006615670400000001,0.0045597283,0.031184282102290788,0.02216295,7
Okinawa,20211026,A,3155,713,127.90553283691406,26.7663516998291,0.032252755,0.036473196,0.030009449,0.027988479,0.02919853,0.026342586,0.025174947000000003,0.03271945,0.02407833,0.014858005,0.010407854,0.07793003447704495,0.026729897,5
Marmara Sea,20210606,B,1367,777,29.06848526000977,40.95557022094727,0.028441677,0.032019436,0.027066706,0.008710272,0.005306796999999999,0.006400189000000001,0.0070331180000000005,0.0066290163,0.005755346999999999,0.0007038136,0.0020171597,-0.13568137317035756,0.0103514325,6
Accra,20181031,B,3707,530,0.096082903444767,5.65638542175293,0.012647016,0.020386145,0.033242684,0.024178848,0.063771226,0.08175396,0.08377707,0.10799046,0.09050154,0.010759933,0.009339817,0.6341231051917137,0.15239470325788024,4
Accra,20181031,B,1457,640,0.4040638506412506,5.746681213378906,0.0047409493,0.0108003,0.022067731,0.01657549,0.07012761,0.09507393,0.11984363,0.075134,0.11181014,0.012856049,0.011215289,0.6385218149179546,0.12616334911994925,4
Okinawa,20211026,A,2944,416,127.8840560913086,26.79299545288086,0.054697692,0.042355437,0.039997227,0.04722723400000002,0.06952112,0.06890235,0.080826886,0.048405115,0.07245073,0.045279900000000005,0.025540302,0.012316763232491463,0.021366592,5
Okinawa,20211026,A,2655,982,127.85549926757812,26.74167060852051,0.053157814000000005,0.076128796,0.08709703,0.097824916,0.11487771,0.11191727,0.11375646,0.09577652,0.09446789,0.056760907,0.030797739,-0.01058047937206413,0.08160765,5
Caribbean Sea,20171009,A,3363,1875,-86.34114074707031,15.911389350891113,0.036558766,0.0438189,0.0478602,0.051392943,0.030977288,0.043707855,0.04215903,0.058103,0.051659122,0.03287257,0.022889055,0.06128132984799261,0.0335974939305658,2
Okinawa,20211026,A,3365,932,127.92684173583984,26.74674224853516,0.046178788,0.052827675,0.052686587,0.05793575,0.06261933,0.062298395,0.060285944,0.057940524000000014,0.06427788,0.03716837,0.019895518,4.119911553253771e-05,0.04017769,5
Marmara Sea,20210606,B,1328,735,29.06397247314453,40.95943069458008,0.049741622,0.06518643,0.061638046,0.0433317,0.03950925,0.042949237,0.043094105999999986,0.04142191,0.03616153,0.009724817,0.0072207819999999985,-0.02253343544894424,0.057513315,6
Vigo,20160920,A,52,419,-8.910748481750488,42.229530334472656,0.03453728,0.031915195,0.02446778,0.014221629,0.018761823,0.017676687,0.018855693,0.017695418,0.017444592,0.0115732,0.008433811999999999,0.1088380450735308,0.010835362,7
Accra,20181031,B,1453,639,0.4037037491798401,5.746773719787598,0.004439053599999999,0.008231563,0.018749492,0.013310731,0.041456383,0.062336266,0.07654021,0.07899169,0.06862551,0.008392039,0.009462383,0.7115843581177574,0.1125156962233975,4
Accra,20181031,B,3780,457,0.1027005985379219,5.662944316864014,0.012746898,0.017453456000000003,0.027543643,0.021360511,0.02776604,0.03811577,0.04286691,0.087484255,0.03634483,0.007876586999999999,0.008044663,0.6075050407109148,0.10310428724243706,4
Durban,20190424,B,747,568,31.08234786987305,-29.8516902923584,0.037675478,0.058535773,0.060986698,0.037712842,0.026746657000000004,0.025604192,0.034576587,0.050023187,0.028538069,0.02156816,0.013856115,0.14031117136609858,0.03159112717685636,2
Caribbean Sea,20171009,A,3467,1861,-86.3314208984375,15.912625312805176,0.030145973,0.048767157,0.05560462,0.053181384000000005,0.047424894,0.055504892,0.05987953400000001,0.06697645,0.06857538,0.035244387,0.022469299,0.1148078784442802,0.04737733126941312,2
Caribbean Sea,20161103,A,6180,3676,-86.42249298095703,15.94769287109375,0.022235537000000003,0.023624698,0.020386783,0.015501348,0.010884399,0.012633243,0.0140981395,0.011774108,0.014397702,0.014023679,0.012062959,-0.13665179419915105,-0.003323272974923611,1
Okinawa,20211026,A,2384,995,127.82826232910156,26.74027442932129,0.033927746,0.051847823,0.04495784,0.03939799,0.032097094,0.026352653,0.024556017000000003,0.039967693,0.023946024,0.014857037,0.011722378,0.007178203204022043,0.03398763,5
Vigo,20160920,A,397,217,-8.868902206420898,42.2476806640625,0.02121294,0.02118299,0.022046002,0.011530778,0.009688839,0.01168035,0.01001901,0.011764532,0.010829072,0.005746964,0.0042168554,0.010034380310886578,0.01059936,7
Okinawa,20211026,A,2544,854,127.84422302246094,26.753135681152344,0.03845545,0.04972320400000002,0.061827246,0.057975195,0.066712834,0.06636673,0.06843023,0.060003255,0.05852111400000001,0.033758357,0.020461971,0.017190088528879623,0.051425256,5
Durban,20190424,B,754,557,31.083091735839844,-29.8507080078125,0.039498184,0.05914586,0.052010432,0.037938993,0.026830686,0.02832655,0.035044093,0.05022289,0.028102368,0.023245009,0.016325496000000002,0.13933342372009005,0.030926368432409562,2
Durban,20190424,B,693,624,31.076663970947266,-29.856658935546875,0.033799026,0.045987852,0.059431173,0.048601985,0.027162109,0.035351317,0.039705247,0.055926934000000005,0.03827728,0.019785624,0.009343567,0.07007581318237878,0.04823625190585995,2
Gulf of Gera,20210721,A,47,42,26.52446365356445,39.03911590576172,0.024178232999999997,0.050129633,0.07585807,0.12153117,0.085184164,0.110158496,0.12144979,0.18671152,0.12074619,0.016989551000000002,0.0048210626,0.21145789377843802,0.2416675171935517,3
Gulf of Gera,20210830,A,73,22,26.527454376220703,39.040931701660156,0.015003468,0.017187914,0.019153425,0.0051234704,0.004698762,0.0071163233,0.0097463345,0.007685044,0.008455023,0.0053625037,0.0050211236999999995,0.19998990671392766,0.00367684899754504,1
Okinawa,20211026,A,3155,793,127.90560150146484,26.75912857055664,0.05445925,0.10298217,0.1250123,0.14937879999999998,0.14576921,0.15314835,0.14699894,0.14144154,0.14508162,0.085735306,0.048535176,-0.027292657728135432,0.10776294,5
Okinawa,20211026,A,2752,331,127.86466217041016,26.80051612854004,0.03229809,0.03468138,0.033935923,0.03039352,0.019761782,0.024807258,0.023784056,0.030356606,0.019795457,0.012726084,0.010302732,-0.00060763659979897,0.026959667000000003,5
Durban,20190424,B,748,567,31.082454681396484,-29.851600646972656,0.03731816,0.060572416,0.05566034,0.044729877,0.03692795,0.044635817,0.042850707,0.06353854,0.056767512,0.028375152,0.015942793,0.17372252704128852,0.04779834093949651,2
Gulf of Gera,20210810,A,48,39,26.52457618713379,39.03938674926758,0.02080435,0.040265255,0.054146882,0.041448507,0.02701424,0.024407234,0.02226151,0.045496468,0.026532007000000003,0.007430665,0.006714266,0.04655773378507493,0.05117519865915077,2
Gulf of Gera,20210830,A,50,29,26.52480125427246,39.04029083251953,0.01647662,0.014387098999999999,0.019269653,0.005809354,0.0041195447999999996,0.0066604237,0.006351949599999999,0.0052921235999999995,0.005668881999999999,0.0035188508000000007,0.003868608,-0.04659113125625733,0.0041992118774523204,1
Durban,20190424,B,631,662,31.07018280029297,-29.85999298095703,0.04256646,0.05085038,0.066946596,0.039718285,0.025706345,0.030456178,0.033085957,0.037634186,0.037360553,0.014786068,0.011371406,-0.0269428884825153,0.035024194587687754,2
Okinawa,20211026,A,2686,772,127.8584213256836,26.760652542114247,0.035657823,0.054173775,0.06546043,0.059338212,0.04640948,0.048118815,0.043514322,0.06111141,0.03639973,0.023867853,0.015543895,0.014721490782262453,0.055970278,5
Accra,20181031,B,1454,639,0.4037939310073853,5.74677324295044,0.004749446,0.013381186000000002,0.03367669,0.025238052,0.11145213,0.15401542,0.18405662,0.14994861,0.16586623,0.014191588,0.011680317,0.7118724483716689,0.2444037186228051,4
Durban,20190424,B,693,623,31.0766658782959,-29.85656929016113,0.03379767,0.04649501,0.060239386,0.03829223,0.027159732,0.035348597999999995,0.039702225,0.04955812,0.03827389,0.019782212,0.009341445,0.12823955738366438,0.0418713883845991,2
Gulf of Gera,20210731,A,48,43,26.52458000183105,39.03902816772461,0.011332258999999999,0.051030133,0.074565336,0.10909398,0.066570364,0.095279306,0.094689585,0.17476721,0.10686618,0.030581517000000006,0.023152066000000002,0.23135684733795425,0.19414566514002726,3
Marmara Sea,20210606,B,1179,1000,29.045541763305664,40.935890197753906,0.027158601,0.030243123,0.028711714,0.008491967,0.005934385,0.0058540464,0.006329235600000001,0.0069254115,0.0040038214,0.0007740621000000001,0.001977044,-0.10160971918799293,0.010098627,6
Gulf of Gera,20210731,A,48,42,26.524578094482425,39.03911590576172,0.011332258999999999,0.03670187,0.056594405,0.07950589,0.049052134000000004,0.07216784,0.07995528,0.13154906,0.08131182,0.025126752999999998,0.01702206,0.2465858772798269,0.14274768120956693,3
Gulf of Gera,20210825,B,59,37,26.52584648132324,39.0395736694336,0.0007872722000000001,0.008498621,0.014944018,0.0010798192,0.0013466802,0.0063680313,0.009499319,0.007969865,0.0077728326,0.0035893049,0.0031254196,0.7613575952186264,0.0065397016416120154,1
Vigo,20160920,A,14,169,-8.915323257446289,42.25204849243164,0.036212098,0.031159718,0.030210625,0.023585305,0.018358633,0.01693611,0.013043004,0.021759383,0.013974603,0.011828678,0.010343626,-0.04026760532567794,0.013874692,7
Vigo,20160920,A,347,147,-8.874950408935547,42.25399398803711,0.040554304,0.090754196,0.08168398,0.07007658,0.054040197000000005,0.05253139,0.047056817,0.059493534,0.04146164,0.021154286,0.0148947695,-0.08167814068605356,0.06256881,7
Vigo,20160920,A,129,257,-8.90139389038086,42.24411392211914,0.022186154,0.037655406,0.035620216,0.031064793,0.017702713999999998,0.018087601,0.019572195,0.025750458,0.016973263,0.011912464,0.00788852,-0.09353712086918352,0.018606467,7
Vigo,20160920,A,159,295,-8.8977632522583,42.24068832397461,0.019227473,0.015902111,0.014732333,0.006922936,0.008995895,0.009769029,0.008929938,0.008716758,0.007655883,0.0035159166,0.002103451,0.11469674534552912,0.010029528,7
Okinawa,20211026,A,2984,360,127.88803100585938,26.79808235168457,0.03753464,0.045362167,0.043357827,0.04717877,0.05185124,0.06162356,0.057029027,0.04962176,0.056248702000000005,0.02733789,0.017664744,0.02523736182022969,0.04875944,5
Marmara Sea,20210606,B,1314,850,29.06198692321777,40.9491081237793,0.03934502,0.040288083,0.03619866,0.014966932,0.01461299,0.014442202,0.013969901000000002,0.012988998,0.012318625,0.0020067554,0.0039469013,-0.07075185837137234,0.020644901,6
Okinawa,20211026,A,2768,845,127.86673736572266,26.75412940979004,0.03555643,0.038319174,0.029219447000000006,0.024912747,0.023584753,0.020935459,0.024347782,0.029891506,0.021333434,0.014615484,0.010635135,0.0908462158949598,0.02015634,5
Gulf of Gera,20210731,A,49,55,26.524702072143555,39.03794479370117,0.012607449,0.0140015865,0.024600072,0.00791488,0.009739642,0.015750693,0.018132647,0.015878635,0.01846861,0.023345112999999997,0.014256463999999996,0.334702754090768,-0.013330928972500256,1
Gulf of Gera,20210611,A,49,37,26.52469062805176,39.03956985473633,0.029670263,0.10031187,0.10617894,0.08982377,0.06228574,0.05440925,0.049894452,0.07339745,0.051285017,0.018479234,0.01922009,-0.10063838513154108,0.08266356288273098,2
Durban,20190424,B,747,569,31.08234786987305,-29.85177993774414,0.036923587,0.059885073,0.0640596,0.038716502,0.027031818,0.02908349,0.030640095,0.051513835999999986,0.03131927,0.020633312,0.012755455,0.1418296138932782,0.037446528610535205,2
Accra,20181031,B,3761,491,0.10097093880176544,5.659882068634032,0.012483457,0.019007215,0.03967862,0.031281095,0.07338372,0.089589186,0.10199148,0.13725814,0.09353274,0.009372236,0.0099405,0.6287974725885043,0.19021652751385654,4
Gulf of Gera,20210701,A,50,14,26.52479362487793,39.04164123535156,0.020219395,0.034224097,0.04686044,0.035838882999999995,0.034908499999999995,0.050826628,0.057961408,0.057318162,0.05986066,0.053843922999999995,0.04870168,0.23057063478129866,0.0011442679690232965,1
Gulf of Gera,20210621,A,47,52,26.52446937561035,39.03821563720703,0.026323193999999998,0.022696672,0.027040672999999998,0.005399868,0.0033164883000000004,0.005257135,0.009310608,0.0055927293999999995,0.0049428865,0.008084054,0.0059355884,0.017544661464632478,-0.004674286284859341,1
Caribbean Sea,20171009,A,3469,1862,-86.33123016357422,15.912534713745115,0.02986842,0.031039719,0.032164864,0.02536736,0.022127062000000003,0.0371022,0.03513838,0.03592619,0.043438382000000005,0.024815151,0.0141264135,0.17226657617318622,0.02059916270888209,2
Durban,20190424,B,630,662,31.0700798034668,-29.8599910736084,0.04254559,0.051340584,0.06693058,0.044724435,0.025690535,0.03044067,0.03307068,0.042517256,0.0373457,0.014775342,0.011365157,-0.025299589848619467,0.03991427485127988,2
Vigo,20160920,A,145,277,-8.899457931518555,42.2423095703125,0.024221698,0.01989569,0.019533591,0.015099752,0.016088651000000002,0.016952498,0.015010382,0.014476548,0.015166441,0.009466233,0.006774771999999999,-0.021071060274611725,0.010791249,7
Accra,20181031,B,1549,477,0.4124462008476257,5.761351108551025,0.008281607,0.020003289,0.03911521,0.03124618,0.07914665,0.09182702,0.12809663,0.1646799,0.114946246,0.01338093,0.01241437,0.6810411355139652,0.2122535899640364,4
Vigo,20160920,A,143,195,-8.899688720703125,42.24969482421875,0.020744968,0.065582454,0.05129613,0.050437883,0.02400693,0.019910272,0.020033868,0.03848459,0.016259199,0.008524832,0.006670489399999999,-0.1344237580976858,0.03875165,7
Vigo,20160920,A,145,276,-8.899457931518555,42.24240112304688,0.024222964,0.024626348,0.023555797000000003,0.019119304,0.016089294,0.016953079,0.015010922,0.018645145,0.015166893,0.0094664,0.0067748544,-0.012555697555656165,0.0149599975,7
Vigo,20160920,A,141,196,-8.899930953979492,42.249603271484375,0.01853787,0.02267015,0.023626374,0.014469577,0.011807623,0.010619869,0.009966117,0.012827662,0.010031189,0.005871050500000001,0.005225589,-0.06014948984400946,0.010623674,7
Okinawa,20211026,A,3419,474,127.931884765625,26.788129806518555,0.037546445,0.034190938,0.030804286,0.035012476,0.029142303,0.029658724,0.031558756,0.03486596,0.02804354,0.021093197,0.016025506000000002,-0.0020967269502139303,0.020387108,5
Tsamakia beach,20190418,B,37,19,26.56621551513672,39.10821533203125,0.02608636,0.039473906,0.032679584,0.02735525,0.011670693000000001,0.024749677999999997,0.0201669,0.038248304,0.022069072000000002,0.0073405280000000015,0.006451406999999999,0.16604365672018312,0.04443513118299131,2
Gulf of Gera,20210825,B,49,37,26.52469062805176,39.03956985473633,0.0021735115,0.027844,0.04186672,0.03456437,0.027918948,0.021040026,0.024091772999999997,0.031484265,0.017542556,0.0057465513000000005,0.0034780826,-0.04663389334238323,0.037621135018616456,2
Gulf of Gera,20210611,A,50,38,26.52480697631836,39.03947830200195,0.029670263,0.046632346,0.04855672,0.03644426,0.06228574,0.05440925,0.049894452,0.03482651,0.051285017,0.018479234,0.01922009,-0.022698646303386385,0.04409262288273097,2
Okinawa,20211026,A,2684,764,127.85821533203124,26.76137351989746,0.036615115,0.043916196,0.046270892,0.049711585,0.042821143,0.041872967,0.039329726,0.051860202,0.038535085,0.024942996,0.015537673,0.02115367921999835,0.03999062,5
Gulf of Gera,20210805,B,48,38,26.52457618713379,39.03947830200195,0.0025065625,0.032966252,0.04723007,0.04311487,0.029439276,0.034872912,0.043905914000000004,0.06175351,0.039335225,0.019174606,0.015990125,0.17773365050551934,0.05477688960143854,2
Marmara Sea,20210606,B,1353,879,29.066537857055664,40.94641494750977,0.05721925200000001,0.077497855,0.08257461,0.06036803,0.07384852,0.076490894,0.071830295,0.058810093,0.062193863,0.0098856045,0.005844092,-0.01307234046637907,0.1006785,6
