Location,Date,Sentinel-2,X,Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,FDI,label
Accra,20181031,B,1632,481,0.4199272394180298,5.760944843292236,0.008142795,0.012252648,0.025219217,0.017222894,0.06406768,0.08625672,0.107303284,0.08501435,0.08264495,0.012134008,0.012173989,0.6630798459316841,0.13047558658980324,4
Accra,20181031,B,3762,490,0.1010615974664688,5.659972190856934,0.012486854,0.016154507,0.023277856,0.017849423,0.052611172000000005,0.06765729,0.07083393,0.073519394,0.06779867,0.009812768,0.010518978,0.6092885168908337,0.10865330027670823,4
Okinawa,20211026,A,2541,850,127.84391784667969,26.75349426269531,0.039695147,0.040225327000000005,0.02689174,0.029295176000000006,0.047471195,0.052447796,0.049799882,0.030868256,0.039762843,0.026703484,0.015501631,0.026146779658447642,0.024044665,5
Marmara Sea,20210606,B,1239,815,29.053180694580078,40.95241928100586,0.03306739,0.031952087000000004,0.027517729,0.010107976,0.008362571999999999,0.008487969,0.008153256,0.00742703,0.006753315,0.0015679601,0.0033281872,-0.15289107970650248,0.011236093,6
Okinawa,20211026,A,2922,756,127.88214111328124,26.762287139892567,0.03307808,0.03295145,0.026491579,0.02741939,0.023875888,0.027705375,0.02516866,0.026054058,0.022342838,0.015011655,0.012510025,-0.025532896251612584,0.02084456,5
Accra,20181031,B,1385,688,0.3975467383861542,5.742385387420652,0.004045438,0.013114265,0.03436741,0.026679272,0.05991772,0.08848764,0.094696745,0.15027982,0.08873795,0.011521226,0.010536071,0.6984696101401786,0.1985634678358367,4
Caribbean Sea,20161103,A,6166,3659,-86.42379760742188,15.949233055114744,0.022149237,0.02445449,0.02235056,0.015397311,0.01242225,0.012294439,0.013319587,0.010730595,0.014176363,0.014114773,0.012736973,-0.17861040988129706,-0.0047898494662311645,1
Vigo,20160920,A,368,105,-8.872397422790527,42.257774353027344,0.020420175,0.03051428,0.02843714,0.016221246,0.010465959,0.009748703,0.011287285,0.013409551,0.010893396,0.004072879000000001,0.0028949387,-0.09489096766448776,0.013719573999999998,7
Marmara Sea,20210606,B,1362,754,29.06795692443848,40.95764923095703,0.048821718,0.03517216,0.03287841,0.011183726,0.005157748,0.0066041574,0.008802213,0.010441709,0.007261416999999998,0.0024159262,0.0029069164,-0.034312234644066165,0.0112801455,6
Caribbean Sea,20161103,A,6173,3658,-86.42314910888672,15.949321746826172,0.022114363,0.026533017,0.020914223,0.01125055,0.0083054835,0.009524533,0.011869669,0.013283627,0.012658952,0.012502728,0.011261338,0.0828671367293062,-0.0015188788058160332,1
Gulf of Gera,20210721,A,53,56,26.525165557861328,39.03785705566406,0.023386896,0.026963762999999998,0.036128383,0.017107833,0.01109399,0.007658759,0.0064202226,0.0075159543000000014,0.010464899,0.015807504,0.01132711,-0.3895371001681775,-0.014584053346085757,1
